screen_name,contribution_score
麦卡PU10P,528
乔小夏,264
篝火视频,105
打工人钱多多,105
新闻晨报,88
许超医生,52
今麦郎食品官方微博,50
每日幽默趣事,48
伟龙零食俱乐部,37
脊梁in上海SH,34
MD小姐姐Yuqi,32
胡狸的美食圈,31
买家张俊,30
今日张店,28
子夜笙歌落ing,26
环球旅游攻略咖,26
大润发,25
辽阔草原锡林郭勒,25
毛发医生张亮,25
马弘运,22
马妍,22
宅女雪球rua,21
是饼饼妹哟,20
Ha尼_洋洋子_Ya,20
洋妈咪在哪里,20
是一个社恐小女生,20
温柔丸丸i,20
江湖李傅相,20
刘星接饼,17
